"uke","btmob","bamob","prosmob","btmob1år","bamob1år","btnett","banett","prosnett","btnett1år","banett1år","bttotal","batotal","btmobvsba"
201248,"46804","null","null",NA,"null","165408","77864","47.07",NA,NA,"212212","null","null"
201249,"48295","null","null",NA,"null","157219","86167","54.81",NA,NA,"205514","null","null"
201250,"50516","null","null",NA,"null","166118","82071","49.41",NA,NA,"216634","null","null"
201251,"48960","null","null",NA,"null","156416","78685","50.3",NA,NA,"205376","null","null"
201252,"53397","null","null",NA,"null","145777","72775","49.92",NA,NA,"199174","null","null"
201301,"54148","null","null",NA,"null","161994","90998","56.17",NA,NA,"216142","null","null"
201302,"53635","null","null",NA,"null","176350","93453","52.99",NA,NA,"229985","null","null"
201303,"49962","null","null",NA,"null","158430","92848","58.61",NA,NA,"208392","null","null"
201304,"56664","null","null",NA,"null","186908","91468","48.94",NA,NA,"243572","null","null"
201305,"54777","null","null",NA,"null","176678","92982","52.63",NA,NA,"231455","null","null"
201306,"56439","null","null",NA,"null","178738","93084","52.08",NA,NA,"235177","null","null"
201307,"53539","null","null",NA,"null","165561","94673","57.18",NA,NA,"219100","null","null"
201308,"54282","null","null",NA,"null","173504","84755","48.85",NA,NA,"227786","null","null"
201309,"54261","null","null",NA,"null","162283","81102","49.98",NA,NA,"216544","null","null"
201310,"54327","null","null",NA,"null","164228","81907","49.87",NA,NA,"218555","null","null"
201311,"63480","null","null",NA,"null","185323","82721","44.64",NA,NA,"248803","null","null"
201312,"55957","null","null",NA,"null","162666","78045","47.98",NA,NA,"218623","null","null"
201313,"57255","null","null",NA,"null","135371","67789","50.08",NA,NA,"192626","null","null"
201314,"71040","null","null",NA,"null","198480","99895","50.33",NA,NA,"269520","null","null"
201315,"61850","26935","43.55",NA,"null","176818","114404","64.7",NA,NA,"238668","141339","43.8"
201316,"62947","24213","38.47",NA,"null","187105","94649","50.59",NA,NA,"250052","118862","53"
201317,"60729","25728","42.37",NA,"null","171518","93993","54.8",NA,NA,"232247","119721","50.7"
201318,"63744","27260","42.76",NA,"null","177303","101037","56.99",NA,NA,"241047","128297","49.7"
201319,"66584","26886","40.38",NA,"null","175196","98035","55.96",NA,NA,"241780","124921","53.3"
201320,"67243","25505","37.93",NA,"null","166150","84758","51.01",NA,NA,"233393","110263","61"
201321,"68162","25803","37.86",NA,"null","171649","85184","49.63",NA,NA,"239811","110987","61.4"
201322,"65431","27055","41.35",NA,"null","170964","90641","53.02",NA,NA,"236395","117696","55.6"
201323,"60740","27507","45.29",NA,"null","165570","93995","56.77",NA,NA,"226310","121502","50"
201324,"63201","25511","40.36",NA,"null","194733","86170","44.25",NA,NA,"257934","111681","56.6"
201325,"63833","29253","45.83",NA,"null","181034","93444","51.62",NA,NA,"244867","122697","52"
201326,"66830","27040","40.46",NA,"null","161256","87771","54.43",NA,NA,"228086","114811","58.2"
201327,"65802","27089","41.17",NA,"null","150088","82526","54.99",NA,NA,"215890","109615","60"
201328,"62309","25961","41.66",NA,"null","133105","75031","56.37",NA,NA,"195414","100992","61.7"
201329,"59649","28478","47.74",NA,"null","119449","74602","62.46",NA,NA,"179098","103080","57.9"
201330,"61185","29180","47.69",NA,"null","112990","74607","66.03",NA,NA,"174175","103787","59"
201331,"71624","32637","45.57",NA,"null","149982","92732","61.83",NA,NA,"221606","125369","57.1"
201332,"68810","32333","46.99",NA,"null","151576","92879","61.28",NA,NA,"220386","125212","55"
201333,"69940","28453","40.68",NA,"null","164044","87943","53.61",NA,NA,"233984","116396","60.1"
201334,"78483","27569","35.13",NA,"null","165812","86472","52.15",NA,NA,"244295","114041","68.8"
201335,"73745","31458","42.66",NA,"null","169966","95839","56.39",NA,NA,"243711","127297","57.9"
201336,"77353","32862","42.48",NA,"null","175327","99427","56.71",NA,NA,"252680","132289","58.5"
201337,"75998","33082","43.53",NA,"null","177207","99437","56.11",NA,NA,"253205","132519","57.3"
201338,"71517","30148","42.16",NA,"null","166799","92703","55.58",NA,NA,"238316","122851","58.2"
201339,"66481","29363","44.17",NA,"null","162479","95290","58.65",NA,NA,"228960","124653","53.3"
201340,"66164","31509","47.62",NA,"null","161412","101917","63.14",NA,NA,"227576","133426","49.6"
201341,"75992","29387","38.67",NA,"null","176947","89658","50.67",NA,NA,"252939","119045","63.8"
201342,"86042","32137","37.35",NA,"null","179969","99685","55.39",NA,NA,"266011","131822","65.3"
201343,"72771","29689","40.8",NA,"null","176804","93748","53.02",NA,NA,"249575","123437","59"
201344,"68584","34421","50.19",NA,"null","161353","104714","64.9",NA,NA,"229937","139135","49.3"
201345,"70696","23269","32.91",NA,"null","167648","113728","67.84",NA,NA,"238344","136997","51.6"
201346,"88001","35985","40.89",NA,"null","195514","113430","58.02",NA,NA,"283515","149415","58.9"
201347,"81773","39861","48.75",NA,"null","174949","113783","65.04",NA,NA,"256722","153644","53.2"
201348,"67250","34564","51.4","43.68","null","158962","100274","63.08","-3.9","28.78","226212","134838","49.9"
201349,"78987","43633","55.24","63.55","null","174493","122121","69.99","10.99","41.73","253480","165754","47.7"
201350,"97294","36679","37.7","92.6","null","190802","107409","56.29","14.86","30.87","288096","144088","67.5"
201351,"107892","41102","38.1","120.37","null","180542","105582","58.48","15.42","34.18","288434","146684","73.6"
201352,"74988","40663","54.23","40.43","null","137530","89753","65.26","-5.66","23.33","212518","130416","57.5"
201401,"74376","37499","50.42","37.36","null","157823","95693","60.63","-2.57","5.16","232199","133192","55.8"
201402,"76798","34642","45.11","43.19","null","160268","100317","62.59","-9.12","7.34","237066","134959","56.9"
